type,test_month,train_n,test_n,actual_q90,constant,monthly_trend,resource_dynamic,gC_visible,developer_overlap_test_fraction,model_overlap_test_fraction,individual_score_rmse
non_pretrained,2024-10,635,182,35.28484078402458,34.678007028102286,36.25383728599613,36.154936703162726,0.5514419708475456,0.47802197802197804,0.01098901098901099,6.523695582684261
non_pretrained,2024-11,815,134,37.2416540174505,33.26843208591792,37.76587886797065,34.703795180803446,0.5514419708475456,0.582089552238806,0.022388059701492536,8.670658237902547
non_pretrained,2024-12,946,174,39.9490594645865,35.927936359933575,39.468897427455396,37.17750738808516,0.5514419708475456,0.42528735632183906,0.0,7.885851889326857
non_pretrained,2025-01,1120,242,39.314601861330004,39.43323061814671,41.731626600825756,40.77608232095486,0.5514419708475456,0.4380165289256198,0.0,8.214474981372158
non_pretrained,2025-02,1362,162,40.050844657854704,39.914843248855036,42.38040696510938,41.268386466019855,0.6903147486034148,0.6666666666666666,0.0,8.310747146315807
non_pretrained,2025-03,1524,105,40.564824833719705,40.23736559941774,42.21968573088317,40.85972113063474,0.6903147486034148,0.7238095238095238,0.0,9.253696364769224
pretrained,2024-11,129,17,9.822670103853453,30.7646821393382,26.10971715828269,32.84469288383781,0.5514419708475456,0.35294117647058826,0.0,5.622551480407914
pretrained,2024-12,146,12,24.27687281624571,17.11540570593849,14.177668375956832,17.55919164447632,0.5514419708475456,0.9166666666666666,0.08333333333333333,6.836904427240718
pretrained,2025-01,157,29,9.768130724371959,21.463757551418286,16.919966486163847,22.30390592167646,0.5514419708475456,0.13793103448275862,0.0,3.2372803117739526
pretrained,2025-03,193,13,15.493340354900274,22.563285269579115,15.32952778370011,23.01397465089416,0.6903147486034148,0.0,0.0,5.305550558923353
